Time(sec),Vehicle_ID,Vehicle_Type,Violation_Type,Speed(km/h)
28.1,434,motorcycle,Over-Speeding,369.61
28.1,443,car,Over-Speeding,84.52
28.13,9,car,Illegal Parking,0.0
28.13,5,car,Illegal Parking,5.4
28.17,9,car,Illegal Parking,0.0
28.17,5,car,Illegal Parking,0.0
28.2,9,car,Illegal Parking,0.0
28.2,5,car,Illegal Parking,0.0
28.23,9,car,Illegal Parking,5.4
28.23,5,car,Illegal Parking,0.0
28.27,9,car,Illegal Parking,5.4
28.27,5,car,Illegal Parking,0.0
28.27,395,car,Over-Speeding,81.72
28.27,434,motorcycle,Over-Speeding,109.21
28.3,9,car,Illegal Parking,5.4
28.3,5,car,Illegal Parking,0.0
28.33,9,car,Illegal Parking,0.0
28.33,5,car,Illegal Parking,7.64
28.37,9,car,Illegal Parking,0.0
28.37,5,car,Illegal Parking,5.4
28.4,9,car,Illegal Parking,0.0
28.4,5,car,Illegal Parking,0.0
28.43,9,car,Illegal Parking,0.0
28.43,5,car,Illegal Parking,0.0
28.47,9,car,Illegal Parking,5.4
28.47,5,car,Illegal Parking,0.0
28.5,9,car,Illegal Parking,0.0
28.5,5,car,Illegal Parking,0.0
28.53,9,car,Illegal Parking,0.0
28.53,5,car,Illegal Parking,0.0
28.57,9,car,Illegal Parking,5.4
28.57,5,car,Illegal Parking,5.4
28.6,9,car,Illegal Parking,5.4
28.6,5,car,Illegal Parking,0.0
28.63,9,car,Illegal Parking,0.0
28.63,5,car,Illegal Parking,0.0
28.67,9,car,Illegal Parking,0.0
28.67,5,car,Illegal Parking,0.0
28.7,9,car,Illegal Parking,5.4
28.7,5,car,Illegal Parking,5.4
28.7,461,car,Over-Speeding,82.6
28.73,9,car,Illegal Parking,0.0
28.73,5,car,Illegal Parking,7.64
28.77,9,car,Illegal Parking,0.0
28.77,5,car,Illegal Parking,0.0
28.8,9,car,Illegal Parking,0.0
28.8,5,car,Illegal Parking,0.0
28.83,9,car,Illegal Parking,0.0
28.83,5,car,Illegal Parking,5.4
28.87,9,car,Illegal Parking,0.0
28.87,5,car,Illegal Parking,0.0
28.9,9,car,Illegal Parking,5.4
28.9,5,car,Illegal Parking,0.0
28.93,9,car,Illegal Parking,0.0
28.93,5,car,Illegal Parking,0.0
28.93,395,car,Over-Speeding,97.2
28.97,9,car,Illegal Parking,5.4
